establecimiento_id,establecimiento_nombre,localidad_id,localidad_nombre,provincia_id,provincia_nombre,departamento_id,departamento_nombre,codloc,codent,origen_financiamiento,tipologia_id,tipologia_sigla,tipologia_nombre,cp,domicilio,sitio_web,longitud,latitud
15500282358877,LOS LIRIOS GERIATRICO.-,50028020013,SAN JOSE,50,MENDOZA,28,GUAYMALLÉN,20,13.0,Privado,17,ESCIRES,Vivienda para personas mayores,5519,MATIENZO 2291,,-68.824136,-32.876904
50500562758817,O.S.E.P. DELEGACION LAVALLE.-,50056160000,VILLA TULUMAYA,50,MENDOZA,56,LAVALLE,160,0.0,Seguridad Social,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5533,REMEDIOS DE ESCALADA 62,www.osepmendoza.com.ar,-68.56662378465575,-32.715583484045695
15500212358870,RESIDENCIA JOSEFINA.-,50021010001,GODOY CRUZ,50,MENDOZA,21,GODOY CRUZ,10,1.0,Privado,17,ESCIRES,Vivienda para personas mayores,5501,COLÓN 1238,,-68.848434,-32.938765
50500492458776,UNIDAD III PENAL DE MUJERES EL BORBOLLON.-,50049050004,EL BORBOLLON,50,MENDOZA,49,LAS HERAS,50,4.0,Servicio Penitenciario Provincial,50,ESSIDT,Con guardia permanente,5541,PASO HONDO 4917,www.penitenciaria.mendoza.gov.ar,-68.763942,-32.830269
50500562158777,C.I.C. 906 JOCOLI.-,50056120000,JOCOLI,50,MENDOZA,56,LAVALLE,120,0.0,Municipal,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5543,RUTA NACIONAL 40 KM 3339,www.lavallemendoza.gob.ar,-68.681031,-32.574591
50500702158859,C.I.C. 923 FRAY LUIS BELTRAN.-,50070050000,FRAY LUIS BELTRAN,50,MENDOZA,70,MAIPÚ,50,0.0,Provincial,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5531,LOS ÁLAMOS ESQUINA LATERAL NORTE DEL ACCESO ESTE,www.salud.mendoza.gov.ar,-68.644348,-33.002546
50500142758894,O.S.E.P. GENERAL ALVEAR.-,50014030000,GENERAL ALVEAR,50,MENDOZA,14,GENERAL ALVEAR,30,0.0,Seguridad Social,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5620,LIBERTADOR NORTE 165,www.osepmendoza.com.ar,-67.68921499999999,-34.976461
50500142758813,O.S.E.P. BOWEN.-,50014010000,BOWEN,50,MENDOZA,14,GENERAL ALVEAR,10,0.0,Seguridad Social,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5634,BARRIO AMAYA PASAJE ARGENTINA 78,www.osepmendoza.com.ar,-67.5163574232788,-34.99920645542633
51500072358802,MEDICINA POR IMAGENES - 1.-,50007010002,2A. SECCION,50,MENDOZA,7,CAPITAL,10,2.0,Privado,51,ESSID,Diagnostico por Imágenes,5500,"AV. COLÓN 352 LOCALES 13, 14 Y 15",www.mpimagenes.com.ar,-68.84514,-32.894371
12500212758804,O.S.E.P. HOSPITAL VIRGEN DE LA MISERICORDIA.-,50021010001,GODOY CRUZ,50,MENDOZA,21,GODOY CRUZ,10,1.0,Seguridad Social,12,ESCIEM,Alto riesgo con terapia intensiva especializada,5501,SALTA ESQUINA PAUL GROUSAC,www.osepmendoza.com.ar,-68.859884,-32.932137
53500702358831,PROSALUD SISTEMA MEDICO FAMILIAR - MAIPU.-,50070070000,RODEO DEL MEDIO,50,MENDOZA,70,MAIPÚ,70,0.0,Privado,53,ESCL,Sistema de Atención extra hospitalaria,5529,ANELDA TOMASINI DE CARRIZO 39,,-68.786773,-32.982748
53501052358834,ALERTA EMERGENCIA.-,50105210,SAN RAFAEL  (CIUDAD DE SAN RAFAEL),50,MENDOZA,105,SAN RAFAEL,210,3.0,Privado,53,ESCL,Sistema de Atención extra hospitalaria,5600,CORRIENTES 1066,,-68.342871,-34.614302
50500702758879,O.S.E.P. DELEGACION MAIPU.-,50070060004,MAIPU,50,MENDOZA,70,MAIPÚ,60,4.0,Seguridad Social,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5515,OZAMIS 211,www.osepmendoza.com.ar,-68.79001900000003,-32.983333
50501052758808,O.S.E.P. SUBDELEGACION REAL DEL PADRE.-,50105190000,REAL DEL PADRE,50,MENDOZA,105,SAN RAFAEL,190,0.0,Seguridad Social,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5624,CÓRDOBA 330,www.osepmendoza.com.ar,-68.32468219999998,-34.61396850000001
53501192358837,ASISTIR CENTRO MEDICO - TUNUYAN.-,50119060000,TUNUYAN,50,MENDOZA,119,TUNUYÁN,60,0.0,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5560,CHILE 181,www.asistir.net,-69.013754,-33.577494
50501052458798,COMPLEJO PENITENCIARIO IV SAN RAFAEL.-,50105210,SAN RAFAEL  (CIUDAD DE SAN RAFAEL),50,MENDOZA,105,SAN RAFAEL,210,3.0,Servicio Penitenciario Provincial,50,ESSIDT,Con guardia permanente,5600,AV. BARTOLOMÉ MITRE 2012,www.penitenciaria.mendoza.gov.ar,-68.300517,-34.62608
53501052358832,A.M.E.E - ASISTENCIA MEDICA EN EMERGENCIAS - SAN RAFAEL.-,50105210,SAN RAFAEL  (CIUDAD DE SAN RAFAEL),50,MENDOZA,105,SAN RAFAEL,210,3.0,Privado,53,ESCL,Sistema de Atención extra hospitalaria,5600,J. B. CORNÚ 732,www.amee.com.ar,-68.343853,-34.620837
53501052358824,ECI EMERGENCIAS - SAN RAFAEL.-,50105210,SAN RAFAEL  (CIUDAD DE SAN RAFAEL),50,MENDOZA,105,SAN RAFAEL,210,3.0,Privado,53,ESCL,Sistema de Atención extra hospitalaria,5600,AV. MITRE 444,www.eciemergencias.com,-68.324362,-34.618047
50500142758881,O.S.E.P. CARMENSA.-,50014020000,CARMENSA,50,MENDOZA,14,GENERAL ALVEAR,20,0.0,Seguridad Social,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5621,P. CRISTOPHERSEN Y BUENOS AIRES,www.osepmendoza.com.ar,-67.653816,-35.142406
50500072358969,ELIAS NEUMONOLOGIA.-,50007010003,3A. SECCION,50,MENDOZA,7,CAPITAL,10,3.0,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5500,VERDAGUER 478,,-68.836297,-32.898121
14500072358797,CLINICA MONTES.-,50007010003,3A. SECCION,50,MENDOZA,7,CAPITAL,10,3.0,Privado,14,ESCIE,Mediano riesgo con internación con cuidados especiales,5500,MONTECASEROS 1447,www.clinicamontes.com.ar,-68.831226,-32.886921
53500212358830,CODIGO ROJO.-,50021010001,GODOY CRUZ,50,MENDOZA,21,GODOY CRUZ,10,1.0,Privado,53,ESCL,Sistema de Atención extra hospitalaria,5501,TTE. 1 IBAÑEZ 15,,-68.844966,-32.912882
50500842758811,O.S.E.P. SUBDELEGACION RIVADAVIA.-,50084140000,RIVADAVIA,50,MENDOZA,84,RIVADAVIA,140,0.0,Seguridad Social,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5577,VICUÑA PRADO 256,www.osepmendoza.com.ar,-68.46973889999998,-33.196354
53500982358839,CENTRO MEDICO ASISTIR - SAN MARTIN.-,50098100002,CIUDAD DE SAN MARTIN,50,MENDOZA,98,SAN MARTÍN,100,2.0,Privado,50,ESSIDT,Con atención médica diaria y con especialidades y/o otras profesiones,5570,VÉLEZ SÁRSFIELD 42,www.asistir.net,-68.474057,-33.087027
